outcome,goal,total
successful,1,1
successful,5,1
successful,10,1
successful,13,1
failed,15,1
successful,22.44,1
successful,25,1
successful,32.25,1
successful,50,2
failed,53.21,1
failed,64.48,1
successful,72.16,1
failed,80.09,1
successful,88,1
failed,100,1
successful,100,3
successful,102.1,1
successful,110.02,1
successful,112.14,1
successful,118.15,1
failed,121.56,1
successful,124.24,1
successful,149.2,1
failed,162.91,1
successful,170.87,1
failed,175,1
failed,183.08,1
failed,191.28,1
failed,191.48,1
failed,200,1
successful,200,5
failed,213.76,1
failed,227.2,1
failed,250,1
successful,250,4
successful,265.91,1
failed,266.45,1
successful,280,1
failed,287.56,1
successful,300,2
successful,327.91,1
successful,350,1
successful,388.38,1
failed,400,1
successful,421.02,1
successful,425,1
successful,435.13,1
successful,440,1
failed,447.16,1
successful,447.36,1
failed,448.7,1
failed,450,1
successful,450,1
failed,500,12
successful,500,23
failed,546.5,1
successful,560,1
successful,563.15,1
failed,600,1
successful,600,4
failed,609.43,1
successful,618.17,1
successful,635,1
failed,665,1
failed,685.64,1
failed,714.6,1
failed,742.66,1
failed,750,2
successful,750,1
failed,761.79,1
successful,770,1
failed,770.77,1
failed,773.62,1
successful,776.28,1
failed,783.58,1
failed,788.27,1
successful,790.99,1
failed,800,4
successful,800,3
failed,802.31,1
failed,814.33,1
successful,835.44,1
successful,873.54,1
successful,875,1
failed,882.08,1
failed,900,1
successful,922.99,1
failed,943.6,1
successful,951.14,1
failed,1000,14
successful,1000,20
successful,1027.61,1
failed,1068.8,1
successful,1080.88,1
failed,1093.1,1
failed,1117.61,1
successful,1136.3,1
successful,1170.7,1
successful,1176.5,1
successful,1200,2
successful,1200.86,1
successful,1244.37,1
failed,1250,1
successful,1258.27,1
failed,1366.37,1
failed,1400,2
failed,1413.01,1
failed,1415.79,1
successful,1448.71,1
successful,1498.46,1
failed,1500,9
successful,1500,6
failed,1540.48,1
successful,1555.45,1
successful,1600,2
successful,1618.56,1
successful,1629.59,1
successful,1640.99,1
successful,1650,1
successful,1650.89,1
successful,1800,2
failed,1968.63,1
failed,1982.08,1
successful,1982.08,1
successful,1998.85,1
failed,2000,14
successful,2000,11
successful,2046.98,1
successful,2099.66,1
failed,2125.81,1
successful,2139.61,1
successful,2200,2
successful,2200.39,1
failed,2260.81,1
successful,2329.1,1
successful,2338.2,1
failed,2345.79,1
failed,2359.73,1
failed,2367.42,1
successful,2402.92,1
successful,2492.43,1
failed,2500,11
successful,2500,9
failed,2530,1
failed,2608,1
failed,2654.53,1
failed,2700,1
failed,2701.24,1
failed,2763.96,1
failed,2832.18,1
failed,2913.52,1
failed,2913.71,1
failed,2929.5,1
failed,3000,13
successful,3000,11
failed,3063.68,1
successful,3075.13,1
failed,3075.55,1
successful,3080.81,1
failed,3100,1
failed,3191.15,1
successful,3250.51,1
successful,3300.58,1
successful,3301.64,1
successful,3301.78,1
failed,3361.8,1
failed,3380.89,1
failed,3401.61,1
successful,3408.59,1
failed,3500,3
successful,3500,5
failed,3512.53,1
successful,3597.9,1
successful,3600,1
failed,3683.87,1
successful,3700,1
failed,3704.85,1
successful,3747.28,1
failed,3750,1
successful,3800,1
failed,3830.54,1
failed,3875.67,1
successful,3932.72,1
successful,3946.53,1
failed,4000,6
successful,4000,8
failed,4034.21,1
successful,4097,1
failed,4098.36,1
successful,4175,1
failed,4200,1
successful,4200,1
successful,4226.01,1
failed,4228.82,1
failed,4250,1
successful,4299.66,1
failed,4313.13,1
failed,4344.38,1
failed,4354.41,1
failed,4354.78,1
failed,4392.9,1
successful,4469.22,1
successful,4472.39,1
failed,4500,1
successful,4500,2
failed,4521.14,1
failed,4614.25,1
failed,4672.75,1
failed,4690.28,1
successful,4721.44,1
failed,4738.09,1
successful,4801.92,1
failed,4945.35,1
successful,4993.89,1
failed,5000,48
successful,5000,33
successful,5141.44,1
successful,5143.06,1
failed,5186.72,1
successful,5326.31,1
failed,5500,2
successful,5500,1
failed,5508.49,1
failed,5545.02,1
successful,5564.03,1
successful,5567.49,1
successful,5569.98,1
successful,5609.97,1
successful,5615.87,1
successful,5633.26,1
successful,5637.31,1
failed,5800,1
successful,5906.27,1
failed,5918.12,1
successful,5972,1
failed,6000,8
successful,6000,12
failed,6277.31,1
successful,6283.87,1
failed,6448.37,1
failed,6448.45,1
successful,6500,3
successful,6572.89,1
failed,6576.57,1
failed,6589.35,1
failed,6600,1
failed,6662.85,1
failed,6693.98,1
failed,6695.98,1
failed,6700.77,1
failed,6900,1
successful,6942.95,1
failed,7000,7
successful,7000,6
successful,7084.48,1
successful,7100,1
failed,7143.57,1
failed,7200,1
failed,7500,7
successful,7500,6
successful,7525.93,1
failed,7573.46,1
successful,7613.25,1
failed,7664.01,1
failed,7666.36,1
failed,7717.84,1
failed,7738.04,1
failed,7787.92,1
failed,7869.73,1
failed,7996.16,1
failed,8000,7
successful,8000,8
failed,8036.65,1
successful,8300,1
failed,8400,1
successful,8418.69,1
failed,8494.01,1
successful,8500,1
failed,8544.75,1
successful,8742.79,1
successful,8800,1
failed,8864,1
successful,8975.96,1
failed,8993,1
failed,9000,3
successful,9000,4
successful,9031.11,1
failed,9172.91,1
failed,9247.27,1
failed,9291.95,1
failed,9321.55,1
successful,9475.08,1
successful,9500,1
failed,9576.34,1
successful,9695.34,1
failed,9805.4,1
failed,9990,1
failed,10000,34
successful,10000,29
failed,10369.77,1
failed,10500,1
failed,10565.02,1
successful,10630.04,1
successful,10727.95,1
failed,10902.03,1
successful,10922.04,1
failed,10984.99,1
failed,11000,2
failed,11400,1
failed,11479.3,1
successful,11500,1
failed,11558.02,1
successful,11659.77,1
successful,11726.08,1
failed,11813.15,1
failed,11852.98,1
failed,12000,10
successful,12000,5
failed,12017.24,1
failed,12150.67,1
failed,12300,1
failed,12314.02,1
failed,12500,3
successful,12500,3
failed,12801.64,1
failed,12822.98,1
failed,13085.79,1
successful,13154.09,1
failed,13176.2,1
successful,13500,2
successful,13578.96,1
failed,13736.26,1
failed,14000,6
successful,14104.37,1
failed,14408.6,1
failed,14417.53,1
failed,14419.61,1
failed,14500,1
successful,14500,1
successful,14552.03,1
failed,14910.02,1
failed,15000,14
successful,15000,11
successful,15119.44,1
successful,15146.93,1
failed,15331.31,1
failed,15654.6,1
failed,15750,1
successful,15800,1
failed,15811.44,1
failed,15838.32,1
failed,16000,4
successful,16000,1
failed,16172.63,1
failed,16384,1
failed,16393.44,1
failed,16500,1
failed,16520.92,1
failed,16598.98,1
successful,16918.57,1
failed,16927.99,1
successful,17000,1
failed,18000,3
successful,18000,3
failed,18500,1
failed,18700,1
failed,19000,1
successful,19000,1
successful,19750,1
failed,19983.33,1
failed,20000,11
successful,20000,12
failed,20081.67,1
failed,20656.04,1
successful,21151.87,1
failed,21777.95,1
failed,21862.06,1
failed,21868.44,1
failed,21900.05,1
failed,22000,1
failed,22061.02,1
failed,22311.97,1
failed,22319.93,1
failed,22403.94,1
failed,22500,1
failed,23191.09,1
failed,23456.83,1
successful,24000,1
failed,24286.78,1
failed,24537.87,1
failed,24656.05,1
failed,24826.99,1
successful,24948.64,1
failed,25000,13
successful,25000,8
failed,25097.04,1
failed,25335.7,1
successful,25805.54,1
failed,25983.81,1
failed,26124.82,1
failed,26355.09,1
successful,27675.07,1
failed,28000,1
successful,28000,1
failed,28645.09,1
successful,29279.88,1
failed,30000,9
successful,30000,9
successful,30084.24,1
failed,30555.34,1
failed,31653.79,1
failed,32238.83,1
failed,32261.04,1
failed,32347.23,1
failed,32541.49,1
successful,32624.91,1
successful,32714.48,1
successful,33281.19,1
failed,35000,6
successful,35000,1
failed,35747.91,1
failed,36478.24,1
failed,37000,1
failed,37323,1
failed,38000,1
failed,38089.43,1
successful,39500,1
failed,40000,5
successful,40000,3
failed,40151.96,1
successful,40496.76,1
failed,41000,1
failed,41786.96,1
failed,42301.18,1
failed,42470.06,1
failed,44000,1
failed,44843.05,1
failed,45000,2
failed,46039.3,1
successful,47057.35,1
failed,49000,1
successful,49000,1
successful,49034.83,1
failed,50000,14
successful,50000,2
failed,51200.66,1
successful,51337,1
failed,53010.22,1
successful,53400.87,1
failed,53705.12,1
failed,55000,1
failed,55933.52,1
failed,56000,1
failed,60000,3
successful,60000,1
successful,60558.35,1
failed,61872,1
failed,63208.13,1
failed,63899.81,1
failed,64955,1
failed,65000,3
failed,67494.6,1
failed,68057.48,1
failed,70000,2
failed,72000,1
failed,72842.76,1
failed,74412.58,1
failed,75000,5
successful,75000,2
successful,75180.9,1
failed,77597.58,1
failed,80000,3
failed,83078.56,1
failed,85000,1
successful,85191.94,1
failed,89000,1
failed,90000,2
failed,91494.26,1
failed,98642.22,1
failed,100000,9
successful,100000,2
successful,104406.57,1
failed,106746.37,1
failed,110000,1
failed,110059.43,1
successful,110900.4,1
failed,120000,1
successful,120000,1
failed,124345.63,1
failed,125000,1
failed,141000,1
failed,149743.64,1
failed,150000,3
successful,150000,1
failed,152117.82,1
successful,191277.74,1
failed,194795.08,1
failed,200000,1
failed,217343.9,1
successful,240246.01,1
failed,250000,3
successful,250000,2
failed,285000,1
failed,295000,1
failed,300000,1
successful,300000,1
failed,302151.69,1
failed,320000,1
failed,332036.81,1
failed,346532,1
failed,400000,2
failed,458883.99,1
failed,475000,1
failed,500000,2
failed,575000,1
failed,600000,1
successful,600000,1
failed,642046.33,1
failed,650000,1
