outcome,year,category_name,total
failed,2009,Art,2
failed,2009,Crafts,1
failed,2009,Design,1
failed,2009,"Film & Video",8
failed,2009,Journalism,1
failed,2009,Music,3
failed,2009,Photography,1
failed,2009,Publishing,4
failed,2009,Theater,2
failed,2010,Art,17
failed,2010,Comics,6
failed,2010,Dance,1
failed,2010,Design,3
failed,2010,Fashion,3
failed,2010,"Film & Video",70
failed,2010,Food,5
failed,2010,Games,5
failed,2010,Journalism,3
failed,2010,Music,48
failed,2010,Photography,6
failed,2010,Publishing,20
failed,2010,Technology,3
failed,2010,Theater,11
failed,2011,Art,38
failed,2011,Comics,12
failed,2011,Crafts,2
failed,2011,Dance,4
failed,2011,Design,23
failed,2011,Fashion,11
failed,2011,"Film & Video",174
failed,2011,Food,11
failed,2011,Games,11
failed,2011,Journalism,6
failed,2011,Music,90
failed,2011,Photography,15
failed,2011,Publishing,60
failed,2011,Technology,18
failed,2011,Theater,24
failed,2012,Art,64
failed,2012,Comics,20
failed,2012,Crafts,4
failed,2012,Dance,8
failed,2012,Design,37
failed,2012,Fashion,52
failed,2012,"Film & Video",204
failed,2012,Food,36
failed,2012,Games,51
failed,2012,Journalism,7
failed,2012,Music,147
failed,2012,Photography,26
failed,2012,Publishing,107
failed,2012,Technology,19
failed,2012,Theater,25
failed,2013,Art,48
failed,2013,Comics,20
failed,2013,Crafts,3
failed,2013,Dance,2
failed,2013,Design,67
failed,2013,Fashion,52
failed,2013,"Film & Video",164
failed,2013,Food,38
failed,2013,Games,59
failed,2013,Journalism,3
failed,2013,Music,90
failed,2013,Photography,29
failed,2013,Publishing,118
failed,2013,Technology,25
failed,2013,Theater,12
failed,2014,Art,80
failed,2014,Comics,18
failed,2014,Crafts,42
failed,2014,Dance,2
failed,2014,Design,97
failed,2014,Fashion,74
failed,2014,"Film & Video",146
failed,2014,Food,140
failed,2014,Games,77
failed,2014,Journalism,14
failed,2014,Music,98
failed,2014,Photography,44
failed,2014,Publishing,141
failed,2014,Technology,104
failed,2014,Theater,21
failed,2015,Art,87
failed,2015,Comics,23
failed,2015,Crafts,53
failed,2015,Dance,7
failed,2015,Design,105
failed,2015,Fashion,88
failed,2015,"Film & Video",191
failed,2015,Food,139
failed,2015,Games,81
failed,2015,Journalism,12
failed,2015,Music,128
failed,2015,Photography,22
failed,2015,Publishing,143
failed,2015,Technology,174
failed,2015,Theater,29
failed,2016,Art,49
failed,2016,Comics,24
failed,2016,Crafts,34
failed,2016,Dance,3
failed,2016,Design,63
failed,2016,Fashion,81
failed,2016,"Film & Video",115
failed,2016,Food,73
failed,2016,Games,66
failed,2016,Journalism,4
failed,2016,Music,4
failed,2016,Music,67
failed,2016,Photography,17
failed,2016,Publishing,101
failed,2016,Technology,1
failed,2016,Technology,121
failed,2016,Theater,11
failed,2017,Art,47
failed,2017,Comics,15
failed,2017,Crafts,28
failed,2017,Dance,3
failed,2017,Design,53
failed,2017,Fashion,54
failed,2017,"Film & Video",71
failed,2017,Food,46
failed,2017,Games,59
failed,2017,Journalism,9
failed,2017,Music,55
failed,2017,Photography,7
failed,2017,Publishing,57
failed,2017,Technology,94
failed,2017,Theater,8
successful,2009,Art,3
successful,2009,"Film & Video",8
successful,2009,Food,1
successful,2009,Games,2
successful,2009,Journalism,4
successful,2009,Music,6
successful,2009,Photography,2
successful,2009,Publishing,3
successful,2010,Art,20
successful,2010,Comics,3
successful,2010,Crafts,3
successful,2010,Dance,2
successful,2010,Design,3
successful,2010,Fashion,1
successful,2010,"Film & Video",72
successful,2010,Food,2
successful,2010,Games,4
successful,2010,Music,54
successful,2010,Photography,12
successful,2010,Publishing,8
successful,2010,Technology,3
successful,2010,Theater,14
successful,2011,Art,45
successful,2011,Comics,16
successful,2011,Crafts,1
successful,2011,Dance,11
successful,2011,Design,18
successful,2011,Fashion,5
successful,2011,"Film & Video",140
successful,2011,Food,9
successful,2011,Games,15
successful,2011,Journalism,6
successful,2011,Music,176
successful,2011,Photography,16
successful,2011,Publishing,36
successful,2011,Technology,3
successful,2011,Theater,32
successful,2012,Art,78
successful,2012,Comics,27
successful,2012,Crafts,6
successful,2012,Dance,15
successful,2012,Design,20
successful,2012,Fashion,13
successful,2012,"Film & Video",137
successful,2012,Food,26
successful,2012,Games,39
successful,2012,Journalism,5
successful,2012,Music,193
successful,2012,Photography,18
successful,2012,Publishing,72
successful,2012,Technology,11
successful,2012,Theater,58
successful,2013,Art,37
successful,2013,Comics,17
successful,2013,Crafts,9
successful,2013,Dance,12
successful,2013,Design,46
successful,2013,Fashion,21
successful,2013,"Film & Video",148
successful,2013,Food,36
successful,2013,Games,49
successful,2013,Journalism,2
successful,2013,Music,135
successful,2013,Photography,19
successful,2013,Publishing,69
successful,2013,Technology,20
successful,2013,Theater,26
successful,2014,Art,55
successful,2014,Comics,25
successful,2014,Crafts,13
successful,2014,Dance,11
successful,2014,Design,49
successful,2014,Fashion,38
successful,2014,"Film & Video",101
successful,2014,Food,53
successful,2014,Games,46
successful,2014,Journalism,2
successful,2014,Music,105
successful,2014,Photography,22
successful,2014,Publishing,59
successful,2014,Technology,33
successful,2014,Theater,24
successful,2015,Art,51
successful,2015,Comics,33
successful,2015,Crafts,18
successful,2015,Dance,10
successful,2015,Design,60
successful,2015,Fashion,34
successful,2015,"Film & Video",75
successful,2015,Food,38
successful,2015,Games,60
successful,2015,Journalism,3
successful,2015,Music,93
successful,2015,Photography,8
successful,2015,Publishing,58
successful,2015,Technology,48
successful,2015,Theater,22
successful,2016,Art,36
successful,2016,Comics,28
successful,2016,Crafts,12
successful,2016,Dance,5
successful,2016,Design,53
successful,2016,Fashion,24
successful,2016,"Film & Video",2
successful,2016,"Film & Video",67
successful,2016,Food,27
successful,2016,Games,65
successful,2016,Journalism,3
successful,2016,Music,2
successful,2016,Music,66
successful,2016,Photography,7
successful,2016,Publishing,52
successful,2016,Technology,37
successful,2016,Theater,17
successful,2017,Art,30
successful,2017,Comics,57
successful,2017,Crafts,11
successful,2017,Dance,3
successful,2017,Design,71
successful,2017,Fashion,22
successful,2017,"Film & Video",50
successful,2017,Food,31
successful,2017,Games,59
successful,2017,Journalism,1
successful,2017,Music,48
successful,2017,Photography,8
successful,2017,Publishing,58
successful,2017,Technology,31
successful,2017,Theater,16
